key,en,fr,notes,last_updated
# ════════════════════════════════════════════════════════════
# NORTH SPHERE CONSULTING — WEBSITE CONTENT SHEET
# ════════════════════════════════════════════════════════════
# HOW TO USE:
#   - Edit the "en" column for English text
#   - Edit the "fr" column for French text
#   - Never edit the "key" column
#   - Rows starting with # are ignored (use for comments)
#   - The "notes" column is for your reference only
# ════════════════════════════════════════════════════════════
#
# ── NAVIGATION ───────────────────────────────────────────────
nav-home,Home,Accueil,Nav menu link,
nav-about,About,À propos,Nav menu link,
nav-expertise,Expertise,Expertise,Nav menu link,
nav-services,Services,Services,Nav menu link,
nav-approach,Approach,Approche,Nav menu link,
nav-contact,Contact,Contact,Nav menu link,
nav-cta,Get in Touch,Nous contacter,Nav button (top right),
#
# ── HERO SECTION (Home page) ─────────────────────────────────
hero-label,Advisory · Strategy · Impact,Conseil · Stratégie · Impact,Small label above main headline,
hero-headline,"Interdisciplinary Advisory for <em>Science, Innovation,</em> and Social Impact","Conseil interdisciplinaire pour la <em>science, l'innovation</em> et l'impact social",Main H1 on homepage — most prominent text,
hero-sub,"North Sphere Consulting delivers rigorous, evidence-based advisory services that bridge complex systems, empower institutions, and advance equitable outcomes across sectors and regions.","North Sphere Consulting offre des services-conseils rigoureux et fondés sur des données probantes, qui relient des systèmes complexes, renforcent les institutions et favorisent des résultats équitables.",Subtitle paragraph below main headline,
hero-btn1,Explore Our Services,Nos services,Primary CTA button,
hero-btn2,Our Approach,Notre approche,Secondary button,
#
# ── STATS BAR (Home page — bottom of hero) ───────────────────
stat-1-num,"20<em>+</em>","20<em>+</em>",Large number,
stat-1-lbl,Years of Experience,Années d'expérience,Label under number,
stat-2-num,"60<em>+</em>","60<em>+</em>",Large number,
stat-2-lbl,Countries Engaged,Pays engagés,Label under number,
stat-3-num,"350<em>+</em>","350<em>+</em>",Large number,
stat-3-lbl,Mandates Completed,Mandats accomplis,Label under number,
stat-4-num,6,6,Large number,
stat-4-lbl,Domains of Expertise,Domaines d'expertise,Label under number,
#
# ── TRUSTED BY BAND (Home page) ──────────────────────────────
trust-label,Trusted by leading institutions worldwide,La confiance des principales institutions mondiales,Small text above partner logos,
#
# ── WHY NORTH SPHERE (Home page) ─────────────────────────────
why-label,Why North Sphere,Pourquoi North Sphere,Section eyebrow label,
why-heading,"Built differently, for <em>harder</em> problems","Conçu différemment, pour des problèmes <em>plus complexes</em>",Section heading,
why-sub,"We are not a generalist consultancy. We are a specialised advisory firm that brings practitioner depth, interdisciplinary breadth, and genuine independence to every mandate.","Nous ne sommes pas un cabinet de conseil généraliste. Nous sommes une firme de conseil spécialisée qui apporte profondeur praticienne, largeur interdisciplinaire et indépendance réelle à chaque mandat.",Section subheading paragraph,
why-1-title,Practitioner-Led,Dirigé par des praticiens,Card 1 heading,
why-1-desc,"Every engagement is led by senior advisors with hands-on experience in the field — not junior analysts supervised from a distance. Our partners have held leadership roles inside the systems they advise on.","Chaque engagement est dirigé par des conseillers seniors ayant une expérience terrain — pas des analystes juniors supervisés à distance. Nos associés ont occupé des postes de direction au sein des systèmes qu'ils conseillent.",Card 1 body text,
why-2-title,Interdisciplinary by Design,Interdisciplinaire par conception,Card 2 heading,
why-2-desc,"Most problems at the intersection of health, climate, governance, and equity require more than one discipline. We draw on six domain practices simultaneously, connecting dots that siloed firms miss.","La plupart des problèmes à l'intersection de la santé, du climat, de la gouvernance et de l'équité exigent plus d'une discipline. Nous mobilisons six domaines simultanément, connectant des points que les cabinets cloisonnés manquent.",Card 2 body text,
why-3-title,"Evidence, Not Frameworks","Preuves, pas cadres",Card 3 heading,
why-3-desc,"We distrust one-size-fits-all methodologies. Every diagnostic is context-specific, every recommendation grounded in local evidence — not adapted from a global template.","Nous nous méfions des méthodologies universelles. Chaque diagnostic est spécifique au contexte, chaque recommandation fondée sur des preuves locales — non adaptée d'un modèle mondial.",Card 3 body text,
#
# ── EXPERTISE CARDS (Home & Expertise page) ──────────────────
exp-label,Our Expertise,Notre expertise,Section eyebrow,
exp-heading,Six <em>interconnected</em> domains,Six domaines <em>interconnectés</em>,Section heading,
exp-sub,"We have built deep, practitioner-led expertise across six domains that together address the full complexity of sustainable development and institutional resilience.","Nous avons développé une expertise approfondie dans six domaines qui abordent ensemble toute la complexité du développement durable.",Section subheading,
exp-1-title,Engineering & Technology,Ingénierie & Technologie,Card 1,
exp-1-desc,"Infrastructure systems, digital transformation, emerging technology policy, and engineering governance frameworks for the public and private sectors.","Systèmes d'infrastructure, transformation numérique, politique sur les technologies émergentes et cadres de gouvernance de l'ingénierie.",Card 1,
exp-2-title,Health Systems,Systèmes de santé,Card 2,
exp-2-desc,"Health system strengthening, policy analysis, service delivery reform, pandemic preparedness, and universal health coverage strategies.","Renforcement des systèmes de santé, analyse des politiques, réforme des services, préparation aux pandémies et couverture sanitaire universelle.",Card 2,
exp-3-title,Environmental Sustainability,Durabilité environnementale,Card 3,
